<dd-mon-yyyy>,<standard rooms available>,<deluxe rooms available>
01-Apr-2023,6,4
02-Apr-2023,6,4
03-Apr-2023,1,1
04-Apr-2023,6,4
05-Apr-2023,1,1
06-Apr-2023,6,4
07-Apr-2023,6,4
08-Apr-2023,1,1
09-Apr-2023,6,4
10-Apr-2023,6,4
11-Apr-2023,1,1
12-Apr-2023,6,4
13-Apr-2023,6,4
14-Apr-2023,6,4
15-Apr-2023,6,4
16-Apr-2023,1,1
17-Apr-2023,6,4
18-Apr-2023,6,4
19-Apr-2023,6,4
20-Apr-2023,1,1
21-Apr-2023,6,4
22-Apr-2023,6,4
23-Apr-2023,6,4
24-Apr-2023,1,1
25-Apr-2023,6,4
26-Apr-2023,1,1
27-Apr-2023,6,4
28-Apr-2023,6,4
29-Apr-2023,6,4
30-Apr-2023,6,4
